1,5,1409.76,37034.64,278,11,72,12
1,8,1520,38942.17,285,11,72,12
1,6,1409.76,37034.64,280,11,72,12
1,7,1356,38942.17,285,11,72,12
2,8,140.98,38942.17,285,11,1,12
1,2,71,30710.14,253,11,1,12
2,10,142,32025.23,269,11,1,12
3,4,213,33911.15,271,11,1,12
1,1,71,33637.66,269,11,1,12
1,4,71.11,33911.15,271,11,1,12
3,9,240,35178.57,277,11,1,12
2,10,140.96,35688.54,278,11,1,12
4,12,281.92,35688.54,275,11,1,12
2,3,144,33637.66,268,11,1,12
3,10,211.44,35688.54,278,11,1,12
4,12,281.92,35688.54,275,11,1,12
1,2,40,30710.14,253,11,1,12
1,7,71.11,35178.57,280,11,1,12
2,10,133.91,35688.54,278,11,1,12
1,9,70.49,38942.17,285,11,1,12
2,2,160,36338.66,274,11,1,12
1,3,70.49,36338.66,275,11,1,12
1,5,80,37034.64,278,11,1,12
4,11,356,32025.23,270,11,1,12
6,3,426,33637.66,268,11,1,12
1,1,71,30710.14,254,11,1,12
1,1,80,36338.66,274,11,1,12
2,5,498,19003.03,187,14,1,4
1,8,249,20911.66,194,14,1,4
1,2,249,19164.7,185,14,1,4
1,3,280,19164.7,185,14,1,4
1,7,210,18254.68,178,24,50,12
1,12,185,19417.94,185,24,50,12
8,7,440,20911.66,193,5,8,8
2,7,110,20911.66,193,5,8,8
4,2,280,19164.7,185,5,8,8
1,2,66.5,24413.77,223,5,8,8
2,4,124,22022.07,205,5,8,8
6,2,420,19164.7,185,5,8,8
6,3,330,19164.7,185,5,8,8
1,3,55,19164.7,185,5,8,8
4,3,224,19164.7,185,5,8,8
2,4,104.5,19003.03,186,5,8,8
3,9,210,20911.66,197,5,8,8
3,10,210,21990.07,198,5,8,8
3,7,210,23568.64,212,5,8,8
4,5,220,19003.03,187,5,8,8
3,4,210,22022.07,205,5,8,8
12,9,840,20911.66,197,5,8,8
2,10,140,21990.07,198,5,8,8
5,3,275,19164.7,185,5,8,8
2,6,110,19003.03,189,5,8,8
5,1,275,19164.7,188,5,8,8
7,1,385,19164.7,188,5,8,8
3,1,165,19164.7,188,5,8,8
6,1,330,19164.7,188,5,8,8
6,1,330,19164.7,188,5,8,8
5,10,350,21990.07,198,5,8,8
5,6,350,19003.03,189,5,8,8
3,10,210,21990.07,198,5,8,8
4,1,220,19164.7,188,5,8,8
1,12,70,21990.07,197,5,8,8
26,1,1430,19164.7,188,5,8,8
3,12,165,21990.07,197,5,8,8
1,11,70,21990.07,199,5,8,8
1,11,70,24562.2,218,5,8,8
4,10,280,21990.07,198,5,8,8
1,12,70,21990.07,197,5,8,8
6,2,330,19164.7,185,5,8,8
2,4,140,22022.07,205,5,8,8
6,9,420,20911.66,197,5,8,8
16,7,880,20911.66,193,5,8,8
1,6,70,22022.07,208,5,8,8
2,3,110,19164.7,185,5,8,8
1,7,770,32029.62,263,11,1,12
1,10,685,32025.23,269,11,1,12
1,5,58500,19003.03,187,4,1,12
1,1,11400,19164.7,188,5,62,12
1,12,7000,28854.1,253,5,62,12
1,10,12000,19417.94,181,5,62,12
1,1,9710.9,19164.7,188,5,62,12
1,10,27000,21990.07,198,14,1,5
1,8,33250,35178.57,278,22,24,12
1,6,40002.9,22022.07,208,22,24,12
1,1,43500,19164.7,188,22,24,12
1,1,15675,19164.7,188,22,23,12
1,6,2114.64,37034.64,280,22,65,12
1,9,3000,38942.17,285,3,55,12
1,8,4500,27061.45,237,18,47,12
1,9,1000,18254.68,179,18,47,12
1,1,500,30710.14,254,18,47,12
1,3,2500,33637.66,268,18,47,12
1,5,500,25118.52,228,18,47,12
1,5,6000,28706.07,244,18,47,12
6,11,4800,39508.25,288,11,1,12
1,7,11400,38942.17,285,5,61,12
1,2,11400,36338.66,274,5,61,12
1,7,7600,35178.57,280,5,61,12
1,5,755.55,33911.15,275,11,38,3
4,4,3022.24,33911.15,271,11,38,3
1,10,800,39508.25,287,11,38,3
52,1,9100,21874.02,198,1,1,1
1,10,969.21,35688.54,278,11,38,3
1,4,969.21,37034.64,277,11,38,3
1,12,1190,35688.54,275,11,38,3
1,3,920.75,36338.66,275,11,38,3
1,1,1189.49,36338.66,274,11,38,3
2,10,2700,39508.25,287,11,38,3
1,9,969.21,38942.17,285,11,38,3
1,3,2222.22,33637.66,268,11,38,3
1,1,2202.75,33637.66,269,11,38,3
1,5,2114.64,37034.64,278,11,38,3
1,6,2400,37034.64,280,11,38,3
1,4,488.89,33911.15,271,11,1,12
