Item Code,Category,Type,Material,
LAP0716-25 -- Box Light White Rustic,Trunk,Chest,Wood,
LAP0716-24 -- Box Light Blue Rustic,Trunk,Chest,Wood,
RCHT-05 -- Burma teak old chest,Trunk,Chest,Wood,
H2H0915-01 -- W/c Raw Mango Trunk,Trunk,Chest,Wood,
RCHT-03 -- Burma teak old chest,Trunk,Chest,Wood,
SLTSTD-02 -- Burma Teak Towel Stand,Stand,Towel Stand,Wood,
LAP0317-01 -- WD CANSOLE RUSTICK,Table,Console,Wood,
H2H0716-105 -- W/C CONSOLE,Table,Console,Wood,
SA-AQLCTBL-01 -- Rose wood Marble Top Consale Table,Table,Console,Wood,
GNTBL-01 -- burma teak Console,Table,Console,Wood,
MMTBL-08 -- Burma Teak Console table,Table,Console,Wood,
MAE0916-01 -- Iron Wooden consale Table,Table,Console,Metal and Wood,
MAE0915-37 -- Wood Consale Table,Table,Console,Wood,
LAP0715-02 -- Wooden 2 Drawer Console Brass Fitted,Table,Console,Wood,
MAE0215-04 -- Consale Table,Table,Console,Wood,
MAE0215-06 -- Consale Table,Table,Console,Wood,
LAP0317-21 -- WD TEAK 2PART MIX CARVING CUPBOARD,Cupboard,Regular,Wood,
MAE0915-14 -- Old wooden Show case,Cupboard,Showcase,Glass and Wood,
LAP0215-13 -- Wooden Almirah,Cupboard,Regular,Wood,
SLCBD-04 -- Old Burma Teak Cupboard,Cupboard,Regular,Wood,
SLCBD-07 -- Old Mohgany & rose  wood CupBord,Cupboard,Regular,Wood,
SLSCBRD-02 -- Old Burma Teak  wood  Show case,Cupboard,Showcase,Glass and Wood,
RSBRD-03 -- Burma teak Side Board,Cupboard,Cabinet,Wood,
AMCBD-05 -- Old Rose wood Mohgany chatai dsn cupboard,Cupboard,Regular,Wood,
GH-105 -- wooden Cupboard,Cupboard,Regular,Wood,
MSCSE-04 -- Old Burma Teak  Inlay Show Case Cupboard,Cupboard,Showcase,Glass and Wood,
JAC-08 -- Painted Cupboard,Cupboard,Regular,Wood,
LSSCSE-01 -- Old Burma Teak Book  case,Shelf,Book Shelf,Wood,
SLCBNT-19 -- Distress cupboard,Cupboard,Regular,Wood,
LSSCSE-03 -- Old Lazaras Burma teak Show case,Cupboard,Showcase,Glass and Wood,
RCBD-04 -- old burma teak cupboard (inlay work),Cupboard,Regular,Wood,
MSCBNT-01 -- Old Burma Teak Cabinet,Cupboard,Cabinet,Wood,
AMSCCBD-02 -- old Burma Teak tile Show case,Cupboard,Showcase,Glass and Wood,
SA-OLD-CUP-07 -- OLD BURMA TEAK CUPBOARD WITH GLASS,Cupboard,Regular,Glass and Wood,
SHMRK-02 -- Burma teak open Book Shelf,Shelf,Book Shelf,Wood,
SA-OLD-CUP-11 -- OLD ROSEWOOD AND TEAK GOA CUPBOARD WITH GLASS,Cupboard,Regular,Glass and Wood,
LSCBRD-01 -- Pannal Burma Teak Cupboard,Cupboard,Regular,Wood,
MAE0915-26 -- Wooden painted show case,Cupboard,Showcase,Glass and Wood,
SHMCBRD-01 -- Old Burma teak Cupboard,Cupboard,Regular,Wood,
SLSCCBD-03 -- Old Burma Teak Show Case,Cupboard,Showcase,Glass and Wood,
LSCBRD-03 -- Old Burma Teak Pannal Cupbord,Cupboard,Regular,Wood,
SHMSCE-02 -- Old Burma Teak Show case,Cupboard,Showcase,Glass and Wood,
MSSCBRD-01 -- Old Burma Teak Show Case Cupbord,Cupboard,Showcase,Glass and Wood,
SLCBD-14 -- Old Burma Teak Cupboard,Cupboard,Regular,Wood,
MAE0716-05 -- Cupboard,Cupboard,Regular,Wood,
RCBD-08 -- Old Rosewood Cupboard,Cupboard,Regular,Wood,
AMCBD-03 -- mohagany wood,Cupboard,Regular,Wood,
H2H0716-75 -- W/C 2 DOOR 1  SHELF CABINET,Cupboard,Cabinet,Wood,
LAP0716-10 --  CUPBOARD Old wood,Cupboard,Regular,Wood,
H2H0915-45 -- W/C TWO DR. TWO DOOR ALMIRAH,Cupboard,Regular,Wood,
MSCBRD-01 -- Burma Teak Show Case,Cupboard,Regular,Glass and Wood,
RCBD-10 -- Old Burma Teak Inlay Cupboard,Cupboard,Regular,Wood,
LSSCSE-02 -- Old Burma Teak Book Case,Shelf,Book Shelf,Wood,
SLSCCBD-01 -- Old Burma Teak Show Case,Cupboard,Showcase,Glass and Wood,
LSCBRD-06 -- Old Burma Teak Singale Door Cuboard,Cupboard,Regular,Wood,
SLSCCBD-02 -- Old  Burma Teak Show case,Cupboard,Showcase,Glass and Wood,
RCBD-14 -- Old Burma teak Cupboard,Cupboard,Regular,Wood,
BBCBRD-01 -- Old Rose Wood Show case Cupboard,Cupboard,Showcase,Glass and Wood,
SII013-03 -- Old Cabinet,Cupboard,Regular,Wood,
MAE0215-09 -- Almira,Cupboard,Regular,Wood,
MAE1216-29 -- Wdn. Craved Jali,Home Decor,Objects,Wood,
SKP-13 -- WOODEN AGARBATTI STANDS WITH ELEPHANTS PAINTING,Home Decor,Objects,Wood,
MH-JDH-04-2017-BOX-TIK-6 OF 14 -- Wooden Small Boxes with compatment,Home Decor,Box,Wood,
SKP-04 -- WOODEN KEY BOX,Home Decor,Box,Wood,
SAE0915-15 -- W/C Frame wth print,Frame,,Wood,
SAE0915-02 -- W/c Hook,Home Decor,Objects,Metal,
SAE0915-12 -- W/C Sign Hook,Home Decor,Objects,Metal,
JAC0914-16 -- Lantren Small,Home Decor,Lamp,Glass,
MAE1216-40 -- wooden Grinder,Home Decor,Objects,Wood,
MAE1216-15 -- Wooden Artistic Pinjara,Home Decor,Objects,Wood,
MAE1216-34 -- Wdn. Craved base,Home Decor,Objects,Wood,
SAE0915-09 -- W/C Ice- Cream Maker,Home Decor,Objects,Wood,
MAE1216-04 -- Wooden Artistic Pinjara,Home Decor,Objects,Wood,
SAE0915-19 -- W/C Frame wth print,Frame,,Wood,
SAE0915-17 -- W/C Frame wth print,Frame,,Wood,
SAE0915-16 -- W/C Frame wth print,Frame,,Wood,
"MH-JDH-04-2017-BOX-HW-4 -- Wooden Box with Brass Hook, 23""LX16""WX17""H",Home Decor,Box,Wood,
MH-JDH-04-2017-BOX-SNG-5 OF 5 -- Wooden Small Boxes with Inside Mirror,Home Decor,Box,Wood,
LSTBL-04 -- Rose Wood Desk,Table,Study Table,Wood,
SLDSK-02 --  Burma Teak Desk,Table,Study Table,Wood,
LAP0716-26 -- Desk Teak Rustic,Table,Study Table,Wood,
BBTBL-06 -- desk,Table,Study Table,Wood,
MAE1216-35 -- Wdn. Desk,Table,Study Table,Wood,
H2H0915-25 -- W/c 1 Drawer 2 Door writing Desk,Table,Study Table,Wood,
SADSK-01 -- Writing Desk,Table,Study Table,Wood,
H2H0215-17 -- W/c 1 Drawer Writing Table,Table,Study Table,Wood,
SLMDSK-05 -- Old Munim Desk,Table,Study Table,Wood,
PCZTBL-01 -- Wooden writing  Desk,Table,Study Table,Wood,
GH-44 -- Wooden Desk,Table,Study Table,Wood,
GH-45 -- Wooden Desk,Table,Study Table,Wood,
JAC0715-27 -- Wooden Desk,Table,Study Table,Wood,
H2H0215-05 -- W/c Dining Table,Table,Dining Table,Wood,
SA-KDTBL -- BURMA TEAK FOUR SEATER DINING TABLE,Table,Dining Table,Wood,
H2H0215-11 -- W/c Old Dining Table with 4 Chairs (Glass cost extra),Table,Dining Table,Glass and Wood,
H2H0116-40 -- W/C CHAIR WITH HAIR ON SET,Table,Dining Table,Wood,
H2H0215-03 -- W/c Dining Table with 6 Chairs,Table,Dining Table,Wood,
H2H0215-46 -- W/c Wall Dressing Old,Table,Dressing Table,Wood,
H2H0716-31 -- 1 DR DRESSING,Table,Dressing Table,Wood,
SI1013-01 -- Dressing Table,Table,Dressing Table,Wood,
