Item Code,Category,Type,Material,
ZIMFRM-05 -- Carved Mirror silver finish 48x30,Mirror,,Glass and Wood,
SLMRR-01 -- Golden Frame Mirror,Mirror,,Glass and Wood,
"LAP0914-52 -- 24""x36"" Mirror Frame",Mirror,,Glass and Wood,
H2H0716-40 -- 1 DR MIRROR,Mirror,,Glass and Wood,
"LAP0914-49 -- 24""x 48"" Mirror Frame",Mirror,,Glass and Wood,
"LAP0914-45 -- 20""x30"" Mirror Frame",Mirror,,Glass and Wood,
"LAP0914-47 -- 20"" x 30"" Mirror Frame",Mirror,,Glass and Wood,
LMRR-01 -- Old Burma Teak Hanging Mirror.,Mirror,,Glass and Wood,
SLMRR-02 -- Burma Teak Hanging Mirror,Mirror,,Glass and Wood,
LAP0914-115 -- 18x24 Mirror frame painted,Mirror,,Glass and Wood,
ZIMFRM-12 -- Craved Mirror gold finish 52x20,Mirror,,Glass and Wood,
SLMR-07 -- Burma Teak Mirror,Mirror,,Glass and Wood,
LAP0914-03 -- Mirror Frame Craved,Mirror,,Glass and Wood,
LAP0914-07 -- Mirror frame full Brass,Mirror,,Glass and Wood,
"LAP0715-28 -- 20""x30"" Mirror Frame Full Brass",Mirror,,Glass and Wood,
"LAP0715-20 -- 27""x36"" Mirror Frame Full Brass",Mirror,,Glass and Wood,
"LAP0715-23 -- 24""x36"" Mirror Frame Full Brass",Mirror,,Glass and Wood,
"MH-JDH-04-2017-BRM-HW-2 of 9 -- Hanging Bathroom Mirror, Hardwood. 27""LX3""WX22""H",Mirror,,Glass and Wood,
H2H0215-121 -- W/c Mirror,Mirror,,Glass and Wood,
"LAP0715-27 -- 20""x30"" Mirror Frame Full Brass",Mirror,,Glass and Wood,
LAP0914-04 -- Jharoka Frame Mirror,Mirror,,Glass and Wood,
ZIMFRM-03 -- Gold Finish Round Craved Mirror 24x 24,Mirror,,Glass and Wood,
ZIMFRM-07 -- Carved Mirror silver finish 48x48,Mirror,,Glass and Wood,
"LAP0914-43 -- 24""x36"" Mirror Frame",Mirror,,Glass and Wood,
"LAP0715-24 -- 20""x20"" Mirror Frame Full Brass",Mirror,,Glass and Wood,
ZIMFRM-01 -- Painted Mirror Frame 48x36,Mirror,,Glass and Wood,
"MH-JDH-04-2017-BRM-HW-4 of 9 -- Hanging Bathroom Mirror, Hardwood. 27""LX3""WX22""H",Mirror,,Glass and Wood,
ABMR-01 -- Mogany wood Calcutta Mirror,Mirror,,Glass and Wood,
LAP0715-41 -- 48x12x18 Elephant Bench Brass fitted,Mirror,,Glass and Wood,
MH-JDH-04-2017-MRF-HW-3 OF 3 -- Big  Size Wooden Frame Mirror,Mirror,,Glass and Wood,
MAE0915-51 -- Mirror frame,Mirror,,Glass and Wood,
ZIMFRM-11 -- Craved Mirror gold finish 48x36,Mirror,,Glass and Wood,
H2H0716-19 -- W/C MIRROR,Mirror,,Glass and Wood,
LAP0914-05 -- Nesting Table,Table,Nesting Table,Wood,
H2H0215-24 -- Stool Set/3 Nesting Table,Table,Nesting Table,Wood,
LAP0416-03 -- Wooden Nesting Table S/3,Table,Nesting Table,Wood,
LAP0715-43 -- Nesting Stool Brass Fitted,Table,Nesting Table,Wood,
LAP0716-15 -- Wooden Side Board,Cupboard,Cabinet,Wood,
LAP0914-08 -- 6 Drawer sidebord Teak plain,Cupboard,Cabinet,Wood,
LAP0914-01 -- Wooden side Board,Cupboard,Cabinet,Wood,
RSBRD-01 -- Burma teak Side Board,Cupboard,Cabinet,Wood,
AHSDBRD-01 -- Low side board Rosewood & Burma,Cupboard,Cabinet,Wood,
SLSBRD-02 -- Recycle Side Borad,Cupboard,Cabinet,Wood,
LAP0317-05 -- WD SIDE BAORD  RUSTIC,Cupboard,Cabinet,Wood,
LAP0715-08 -- Wooden side Board,Cupboard,Cabinet,Wood,
H2H1015-13 -- W/C 3 DR. 2 PANEL DOOR SIDEBOARD,Cupboard,Cabinet,Wood,
MAE1216-43 -- Wooden Craving Side Board,Cupboard,Cabinet,Wood,
LAP1216-22 -- Wooden Side Board white,Cupboard,Cabinet,Wood,
YASC-09 -- Wooden 2Dr 2 drw. Side board,Cupboard,Cabinet,Wood,
H2H0915-26 -- W/c 2 Door 1 Shelf Sideboard,Cupboard,Cabinet,Wood,
GH-20 -- Wooden sideboard,Cupboard,Cabinet,Wood,
LAP-SBRD -- WHITE WOODEN SIDEBOARD,Cupboard,Cabinet,Wood,
H2H0215-88 -- W/c 4 Door Side Board,Cupboard,Cabinet,Wood,
MSH-ART-JD-6/17- WDN-SDE-BRD -- WDN CARVING SIDE BOARD,Cupboard,Cabinet,Wood,
YASC-17 -- Wooden  3dr  3 Drw. Side Board,Cupboard,Cabinet,Wood,
PCZ-09/SBRD -- wooden glass side board,Cupboard,Cabinet,Wood,
H2H0716-71 -- W/C  2 DOOR SIDE BOARD,Cupboard,Cabinet,Wood,
GH-88 -- Wooden Bench,Chair,Bench,Wood,
SA-AQL-SFA-01 -- Burma Teak Sofa Set (3 seater + 2 seater),Sofa,Fabric,Wood,
H2H1015-01 -- W/C SOFFA SET,Sofa,Fabric,Wood,
GH-84 -- Western Railway Bench,Chair,Bench,Wood,
SHMCHR-02 --   Old Burma teak Planter Chair,Chair,Planter,Wood,
LCHR-02 -- Rocking Chair  mohgany wood,Chair,Sitting Chair,Wood,
H2H4098 -- W/c Low Sofa Chair,Chair,Sofa Chair with Fabric,Wood,
H2H4091 -- W/c Bar Chair,Chair,Bar Chair,Wood,
BBCHR-03 -- Old Rose Wood Cane Chair,Chair,Cane Chair,Wood,
MMSFA-01 --  Arm Chairs,Chair,Sitting Chair,Wood,
BBSFA-13 -- Mohagany wood cane sofa,Sofa,Cane,Wood,
LAP0317-17 -- WD SOFA BRASS FTD,Sofa,Fabric,Wood,
SLSFA-08 -- Two Seater,Sofa,Fabric,Wood,
H2H0116-06 -- W/C Sofa Chair,Chair,Sofa Chair with Fabric,Wood,
SLSFA-10 -- Burma teak Shage Loungh,Sofa,Fabric,Wood,
AMCHR-03 -- leather seat office chair,Chair,Sitting Chair,Wood,
RCHR-04 -- Old Burma Teak  Chair,Chair,Sitting Chair,Wood,
H2H0215-13 -- W/c Round Table with wood top and stools with fabric seat,Table,Dining Table,Wood,
LAP0715-11 -- Wooden Teak Sofa,Sofa,Fabric,Wood,
BBBNCH-03 -- Burma Teak Cane 2 Seater,Sofa,Cane,Wood,
SH/GJ-38 -- 3 SEATER WD SOFA,Sofa,Fabric,Wood,
SA-AQLSFA-04 -- Burma Teak Diwan,Sofa,Fabric,Wood,
H2H0215-19 -- W/c old Couch,Sofa,Fabric,Wood,
SLSFA-04 -- Chaise Long,Sofa,Fabric,Wood,
RCHR-02 -- Old Burma Teak  Arm Chair,Chair,Sitting Chair,Wood,
GH-80 -- Iron Bench,Chair,Bench,Metal and Wood,
LSCHR-05 -- Burma teak chair,Chair,Sitting Chair,Wood,
MSBNCH-01 -- Cane Sofa & Burma teak,Sofa,Cane,Wood,
SLCHR-15 -- Pine Wood Cane Chair,Chair,Cane Chair,Wood,
BBCHR-01 -- old burma teak deck chair,Chair,Sitting Chair,Wood,
LSCHR-03 -- Mohagany Wood Roking Chair,Chair,Sitting Chair,Wood,
AMBNCH-01 -- Old Burma Teak 3 seater,Sofa,Fabric,Wood,
H2H1015-22 -- I/W BABY CHAIR,Chair,Sitting Chair,Wood,
SLSFA-07 -- CANE SOFA SET,Sofa,Cane,Wood,
H2H1013018 -- Table wth 4 Stool,Table,Dining Table,Wood,
H2H0915-05 -- W/c Abhi Stool,Table,Stool,Wood,
H2H0215-89 -- W/c Stool,Table,Stool,Wood,
H2H0716-68 -- PUFFS,Table,Stool,Wood,
H2H0915-03 -- W/c Teak Stool,Table,Stool,Wood,
LAP0914-06 -- Opium Stool S/3 Brass,Table,Stool,Wood,
BBTBL-04 -- Burma teak tile table,Table,Stool,Wood,
AC-JD/04-17/STL-TIL/4 of 4 -- Stool. With tile. L12''xW12''xH24'',Table,Stool,Wood,
MAE0915-19 -- Old wooden swing,Swing,,Wood,
MAE0915-34 -- Old Swing Bench,Swing,,Wood,
JAC0914-24 -- Wooden Dinning Table + 4 Chair,Table,Dining Table,Wood,
MAE0915-36 -- Cart Table,Table,Coffee Table,Wood,
RAC0914-06 -- wooden window table,Table,Coffee Table,Wood,
RAC0914-09 -- Wooden consale Table,Table,Console,Wood,
LSTBL-02 -- Mohagany Wood Round Marbale Top Table,Table,Coffee Table,Stone and Wood,
LSTBL-03 -- Old Rose Tall Table,Table,Coffee Table,Wood,
H2H0915-51 -- W/C TABLE + TWO CHAIR,Table,Coffee Table,Wood,
YASC-20 -- Wooden  Iron  Table Set,Table,Coffee Table,Metal and Wood,
PCM-07 -- Low Coffee Table,Table,Coffee Table,Wood,
MAE1216-44 -- Wdn. Decorative Craved Table,Table,Coffee Table,Wood,
JAC0914-06 -- Iron wooden Coffee Table,Table,Coffee Table,Metal and Wood,
SA-AQLTBL-01 -- Burma Teak Table wth 2 Drawer,Table,Study Table,Wood,Convert all drawer tables to study table
SLDTBL-02 -- Old Burma Teak Dining Table,Table,Dining Table,Wood,
GH-91 -- Tile Table,Table,Coffee Table,Stone and Wood,
RSTBL-01 -- Old Burma Teak  Table,Table,Coffee Table,Wood,
SLTBL-06 -- Small  folding table,Table,Coffee Table,Wood,
RTBL-06 -- marble top round table,Table,Coffee Table,Stone and Wood,
SLTBL-36 -- Square Table,Table,Coffee Table,Wood,
RTBL-12 -- round inlay big table,Table,Coffee Table,Wood,
DBTBL-01 -- Burma teak Small Table,Table,Coffee Table,Wood,
SH/GJ-01 -- WOODEN COLOURED DRAWER TABLE,Table,Coffee Table,Wood,
SLCTBL-01 -- Old Burmak wood use Centre Table,Table,Coffee Table,Wood,
SLCTBL-03 -- Glass Top Burma Teak Centre Table,Table,Coffee Table,Glass and Wood,
SLTBL-17 -- Old Burma Teak Green Table,Table,Coffee Table,Wood,
AMTBL-02 -- Old Rose wood MohaganyTable,Table,Coffee Table,Wood,
SLTBL-05 -- Old burma teak  Table,Table,Coffee Table,Wood,
ABTBL-02 -- Mohagany Wood Craved Table,Table,Coffee Table,Wood,
SLTBL-29 -- Burma Teak Table,Table,Coffee Table,Wood,
MSDTBL-01 -- Burma Teak Dressing Table,Table,Coffee Table,Wood,
BBDTBL-01 -- Carved round dining table with 5 chairs,Table,Dining Table,Wood,
DWR-IW-TBL-05 -- cast iron Y console table on wood top,Table,Coffee Table,Metal and Wood,
DWR-IW-TBL -- CAST IRON WOODEN CART TABLE,Table,Coffee Table,Metal and Wood,
SA-TBL-40 -- Tall Table,Table,Coffee Table,Wood,
SLTBL-30 -- Burma teak Table,Table,Coffee Table,Wood,
SLCTBL-06 -- wooden Cart Table,Table,Study Table,Wood,
AMDTBL-01 -- Old Burma Teak Dinning Table,Table,Dining Table,Wood,
SHMBTBL-01 -- Burma Teak Bed Side Table,Table,Bedside,Wood,
SLTBL-33 -- Burmak Teak  Side Table,Table,Side Table,Wood,
SLTBL-15 -- Burma Teak side table 1 Drawer,Table,Side Table,Wood,
SHMTBL-01 -- Old Burma teak Table,Table,Coffee Table,Wood,
BBDTBL-02 -- Old Burma Teak Dinning Table,Table,Dining Table,Wood,
GH-71 -- Wooden Table,Table,Coffee Table,Wood,
RTBL-11 -- burma teak D.Table set,Table,Dining Table,Wood,
H2H0215-150 -- IRON WOOD TABLE,Table,Coffee Table,Metal and Wood,
PCM-15 -- Side Table,Table,Side Table,Wood,
GH-76 -- Sliding Wooden Table,Table,Coffee Table,Wood,
SLTBL-38 -- Folding Table,Table,Coffee Table,Wood,
LAP0716-11 -- Plazma Teak,Cupboard,Cabinet,Wood,
LAP0716-01 -- Wooden Plazma std.,Cupboard,Cabinet,Wood,
AMALT-02 -- Old Mohagany wood  Alter,Altar,,Wood,
LAP0914-10 -- wine bar Cabinet Teak plain,Cupboard,Cabinet,Wood,
LAP1216-21 -- Bar Shelf wooden white,Shelf,Open Shelf,Wood,
SA-PJSTD -- BURMA TEAK POOJA STAND,Stand,Hat Rack,Wood,Check categorization
H2H0215-123 -- W/c Khat,Bed,,Wood,
SA-OLD-BED -- OLD BURMA TEAK TWO POSTER BED,Bed,,Wood,
SLBD-03 -- Burma Teak,Bed,,Wood,
SLBD-09 -- IRON BED,Bed,,Metal and Wood,
ABBD-01 -- Old Burma Teak Lazaras Bed,Bed,,Wood,
SA-SHM-BT -- BEDSIDE TABLE,Table,Bedside,Wood,
SA-OLD-JH -- OLD BURMA TEAK JHULA,Swing,,Wood,
SA-K-BNCH-01 -- Storage Bench,Chair,Bench,Wood,
RBNCH-04 -- Burma Teak Bench,Chair,Bench,Wood,
SLBNCH-06 -- Old Painted  Bench,Chair,Bench,Wood,
H2H0215-95 -- W/c Old Bench,Chair,Bench,Wood,
AK-MUM-S- BENCH-5/6/01 -- Small Bench with Cushion,Chair,Bench,Wood,
SLRK-10 -- Burma Teak  Shelf,Shelf,Open Shelf,Wood,
SA-M-WBRK -- LONG SHELF WITH TILE/MIRROR,Shelf,Book Shelf,Glass and Wood,Cat?
H2H0215-10 -- W/c CD Rack Big,Home Decor,Objects,Wood,
MMSCSE-01 -- show case,Cupboard,Showcase,Glass and Wood,
LAP0317-22 -- WD BOAT BOOK SELF,Shelf,Book Shelf,Wood,
BBSCE-01 -- show case,Cupboard,Showcase,Glass and Wood,
LAP1216-14 -- Iron book Shelf,Shelf,Book Shelf,Metal and Wood,
H2H4093 -- W/c Teak Shlef,Shelf,Open Shelf,Wood,
LAP0716-09 -- Shelf Rustic,Shelf,Open Shelf,Wood,
MMRK-06 -- 3 shelf small,Shelf,Open Shelf,Wood,
MAE1216-08 -- Wdn. Distres Rack,Shelf,Book Shelf,Wood,
LAP0716-08 -- Wooden Boat shelf white,Shelf,Book Shelf,Wood,
H2H4095 -- W/c DVD Rack Big,Home Decor,Objects,Wood,
RRK-03 -- Old Burma Teak Shelf 2 Drawer,Shelf,Book Shelf,Wood,Confirm cat
LAP0716-17 -- Book Shelf Rustic,Shelf,Book Shelf,Wood,
LAP0716-06 -- Wooden Shoe RackTeak wood,Shelf,Book Shelf,Wood,
SA-KSHF -- OLD DOOR RECYCLED SHELF,Shelf,Book Shelf,Wood,
LAP0317-61 -- Camel Bench small,Home Decor,Stool,Wood,
"LAP0715-17 -- 18"" Elphant stool Brass Fitted",Home Decor,Stool,Wood,
"LAP0716-92 -- 15"" Elphant stool Rustic",Home Decor,Stool,Wood,
LAP0914-57 -- Sitting Double Brass Fitted,Home Decor,Stool,Wood,
LAP0715-52 -- 8 Corner Stool Brass fitted,Home Decor,Stool,Wood,
"LAP0317-107 -- 18"" Elephant Stool Brass fitted",Home Decor,Stool,Wood,
LAP0715-40 -- 48x 14x18 Bench Long Brass Fitted,Home Decor,Stool,Wood,
LAP0317-114 -- Wdn. Elephant bench,Home Decor,Stool,Wood,
"LAP0215-23 -- Elephant Stool 12""",Home Decor,Stool,Wood,
LAP0317-115 -- Wd elephant bench double,Home Decor,Stool,Wood,
"LAP0716-93 -- 18"" Elphant stool Rustic",Home Decor,Stool,Wood,
LAP0914-56 -- Sitting Singale Brass Fitted,Home Decor,Stool,Wood,
LAP1216-16 -- Iron Round Stool,Table,Stool,Metal and Wood,
"LAP0715-15 -- 12"" Elephant Stool Brass Fitted",Home Decor,Stool,Wood,
"LAP0715-18 -- 36"" Elephant Half brass Fitted",Home Decor,Stool,Wood,
MAE0215-01 -- Stool,Home Decor,Stool,Wood,
LAP0914-35 -- Elephant Stool,Home Decor,Stool,Wood,
