Index,Date,Quantity,Cost,GDP,CPI
1377,2016-11,1,12350.0,0.0,-2
1378,2016-05,1,17575.0,0.0,2
1380,2016-03,2,9500.0,273.489999999998,3
1381,2015-03,2,9500.0,191.34000000000012,2
1386,2015-11,1,9595.0,0.0,-1
1387,2015-12,1,9595.0,1612.430000000004,0
1411,2014-12,2,12060.0,1856.0400000000006,1
1418,2014-09,1,14600.0,-549.5400000000009,0
1419,2017-11,1,30000.0,0.0,-2
1421,2016-06,1,7505.0,1267.4199999999985,3
1422,2017-11,1,20800.0,0.0,-2
1423,2017-03,2,16150.0,695.9799999999959,2
1427,2016-07,1,12300.0,0.0,-2
1429,2017-09,1,4940.0,566.0800000000017,2
1430,2017-08,1,22000.0,0.0,0
1433,2014-10,1,23465.0,0.0,0
1435,2014-12,1,53800.0,1856.0400000000006,1
1436,2015-10,1,61750.0,0.0,1
1437,2014-04,1,48600.0,0.0,2
1440,2014-10,1,19050.0,0.0,0
1442,2014-12,1,4050.0,1856.0400000000006,1
1448,2014-01,1,9595.0,0.0,1
3008,2013-11,1,25250.0,0.0,-4
3009,2013-11,1,14440.0,0.0,-4
3010,2017-04,1,14725.0,0.0,1
3020,2017-05,1,7200.0,0.0,2
3021,2017-04,1,6343.92,0.0,1
3022,2017-05,1,6840.0,0.0,2
3023,2017-06,1,5709.53,1907.5299999999988,5
3033,2016-07,1,20900.0,0.0,-2
3037,2016-09,1,14500.0,509.9700000000012,1
3042,2015-05,1,16200.0,0.0,3
3043,2017-03,1,19190.0,695.9799999999959,2
3045,2015-04,2,9500.0,0.0,2
3046,2015-05,1,3999.6,0.0,3
3047,2016-04,1,22500.0,0.0,4
3048,2015-03,1,17100.0,191.34000000000012,2
3049,2015-10,1,13050.0,0.0,1
3052,2015-03,1,27000.0,191.34000000000012,2
3060,2016-01,1,33250.0,0.0,-2
3061,2015-09,1,34200.0,-4.389999999999418,3
3062,2017-10,1,15700.0,0.0,1
3067,2016-06,1,5742.29,1267.4199999999985,3
3071,2015-03,1,23465.0,191.34000000000012,2
3082,2015-01,1,15000.0,0.0,-1
3083,2015-12,1,12044.76,1612.430000000004,0
3084,2015-10,1,4889.0,0.0,1
3085,2016-01,1,5500.0,0.0,-2
3086,2016-01,2,11000.0,0.0,-2
3097,2016-01,1,6650.0,0.0,-2
3098,2016-01,2,9000.0,0.0,-2
3099,2017-05,1,13200.0,0.0,2
3111,2015-10,1,3800.0,0.0,1
3114,2014-09,1,15960.0,-549.5400000000009,0
3118,2015-04,1,20330.0,0.0,2
3147,2014-09,1,33250.0,-549.5400000000009,0
3148,2014-06,1,7200.0,697.5699999999997,6
3154,2014-05,1,11875.0,0.0,2
3155,2014-09,1,16150.0,-549.5400000000009,0
3289,2012-07,1,15000.0,0.0,2
3290,2012-07,1,10925.0,0.0,2
3349,2014-03,1,5333.0,627.0799999999981,3
3350,2010-04,1,7650.0,0.0,2
3351,2011-01,1,11250.0,0.0,-3
3775,2017-03,1,23750.0,695.9799999999959,2
3834,2017-09,1,1400.0,566.0800000000017,2
3835,2017-01,1,4512.5,0.0,0
3836,2017-09,1,2800.0,566.0800000000017,2
3837,2017-06,1,2343.73,1907.5299999999988,5
3838,2017-04,2,5600.0,0.0,1
3839,2017-06,1,2467.08,1907.5299999999988,5
3846,2017-09,1,3300.0,566.0800000000017,2
3847,2017-10,1,3135.0,0.0,1
3848,2017-08,1,3200.0,0.0,0
3954,2017-05,1,33000.0,0.0,2
3955,2017-09,1,31350.0,566.0800000000017,2
4200,2017-12,1,7600.0,0.0,-2
4474,2015-09,1,10000.0,-4.389999999999418,3
4475,2015-08,1,38000.0,0.0,2
4938,2015-11,1,4750.0,0.0,-1
4939,2016-11,1,4750.0,0.0,-2
4940,2017-02,1,4405.5,0.0,1
4941,2015-11,1,3800.0,0.0,-1
4978,2015-09,1,2222.22,-4.389999999999418,3
4995,2017-03,1,2070.0,695.9799999999959,2
5299,2016-11,2,6840.0,0.0,-2
5418,2016-11,2,15010.0,0.0,-2
5450,2016-10,1,925.15,0.0,-1
