Item Code,Category,Type,Material,Description,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0215-76 -- IRON WOOD TABLE,Table,Study Table,Metal and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0215-90 -- Jali Table,Table,Coffee Table,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0215-91 -- Day Bed (Rasala),Bed,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0215-94 -- W/c Bed,Bed,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0215-96 -- W/c Old 3 Drawer 2 Door Teak,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H024 -- W/C Book shelf,Shelf,Book Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0716-02 -- W/C SIDE TABLE,Table,Side Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0716-100 -- W/C WRITING TABLE,Table,Study Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0716-101 -- CONSOLE,Table,Console,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0716-102 -- distress white cupboard,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0716-103 -- W/C 2 DOOR ALMIRAH,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0716-104 -- W/C BOX,Home Decor,Box,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0716-109 -- W/C BENCH WITH WHITE DISTRESS,Chair,Bench,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0716-111 -- W/C BENCH (GREEN DISTRESS),Chair,Bench,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0716-112 -- W/C BENCH (YELLOW DISTRESS),Chair,Bench,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0716-113 -- W/C BENCH,Chair,Bench,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0716-114 -- W/C BENCH,Chair,Bench,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0716-115 -- W/C BENCH WITH BOX,Chair,Bench,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0716-116 -- W/C 1 DOOR MIRROR,Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0716-150 -- W/C 2 DR CONSOLE WITH STONE TOP,34X42X18,Table,Console,Wood,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0716-18 -- W/C SIDE BOARD,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0716-20 -- W/C TABLE WITH STONE TOP,Table,Dining Table,Stone and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0716-26 -- W/C MIRROR,Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0716-27 -- W/C 4 DOOR SIDE BOARD,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0716-28 -- W/C MIRROR,Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0716-32 -- CONSOLE WITH MIRROR,Table,Console,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0716-37 -- W/C MAGAZINE RACK,Shelf,Open Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0716-38 -- W/C MAGAZINE RACK,Shelf,Open Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0716-67 -- STOOL,Table,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0716-72 -- W/C 1 DR BED SIDE,Table,Bedside,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0716-74 -- W/C 2 DR 2 DOOR ALMIRAH,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0716-76 -- W/C BOX,Home Decor,Box,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0716-77 -- W/C BOX,Home Decor,Box,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0716-82 -- W/C COFFEE TABLE,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0716-83 -- W/C BAJOT,Bajot,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0716-84 -- W/C BAJOT,Bajot,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0716-85 -- W/C BAJOT,Bajot,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0716-97 -- W/C TABLE,Table,Study Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0716-98 -- W/C SHELF,Shelf,Open Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0717-01 -- W/C 2 DOOR CABINET,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0717-02 -- W/C 2 DOOR CABINET,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0717-03,, -- W/C 1 DR 2 DOOR CABINET,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,
H2H0717-04 -- W/C 2 DOOR CABINET,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0915-02 -- W/c  Chair,Chair,Sitting Chair,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0915-04 -- I/W Coffee Table,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0915-06 -- W/c 1 Drawer 1 Door Almirah Old,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0915-07 -- W/c 2 Door Almirah,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0915-08 -- W/c 2 drawer 2 Door Almirah Old,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0915-09 -- W/c 1 Drawer 1 Door Almirah Old,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0915-10 -- W/c 2 Drawer Almirah,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0915-11 -- W/c 1 Door Almirah,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0915-12 -- W/c 3 Door Almirah,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0915-14 -- W/c 4 Drawer Chest,Trunk,Chest,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0915-15 -- W/c Almira,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0915-16 -- W/c Table,Table,Study Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0915-17 -- W/c Table,Table,Study Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0915-18 -- W/c Trunk,Trunk,Pitara,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0915-19 -- W/c 2 drawer 2 Door Almirah Old,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0915-20 -- W/c 3 Drawer 1 Door Almirah,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0915-21 -- W/c 4 Drawer Chest,Trunk,Chest,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0915-22 -- W/c 5 Drawer Chest,Trunk,Chest,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0915-23 -- W/c Bench,Chair,Bench,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0915-27 -- W/c Mirror Frame,Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0915-31 -- Iron elephant pot,Home Decor,Animal,Metal,Sub-category?,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0915-32 -- W/c Juicer,Home Decor,Obects,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0915-33 -- W/c Kharal,Home Decor,Obects,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0915-34 -- W/c Chakalote,Home Decor,Obects,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0915-35 -- W/c Hook,Home Decor,Objects,Metal,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0915-36 -- W/c Hook,Home Decor,Objects,Metal,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0915-38 -- W/c  Bed,Bed,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0915-39 -- Cupboard,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0915-40 -- W/C BENCH,Chair,Bench,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0915-44 -- W/C TWO DOOR PLAZMA,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0915-46 -- W/C TWO DR. TWO DOOR ALMIRAH,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0915-48 -- W/C TWO DR. TWO DOOR ALMIRAH,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0915-49 -- W/C OLD DOOR ALMIRAH,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0915-50 -- W/C BOOK SHELF,Shelf,Open Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0915-53 -- W/C DINNING SET + SIX CHAIR,Table,Dining Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"H2H0916-124 -- W/C BENCH WITH FABRIC
46X16X18",Chair,Bench,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0916-50 -- W/C BOX,Home Decor,Box,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H1015-02 -- W/C SOFFA THREE SEATER,Sofa,Fabric ,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H1015-03 -- W/C CENTRE TABLE,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H1015-04 -- W/C 1 DR. 1 DOOR DESK,Table,Study Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H1015-06 -- W/C 2 DR. 2 DOOR CABINET,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H1015-07 -- W/C 2 DR. 2 DOOR ALMIRAH,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H1015-08 -- W/C OLD CONSOLE,Table,Console,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H1015-09 -- W/C OLD BENCH,Chair,Bench,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H1015-10 -- W/C SOFFA TWO SEATER,Sofa,Fabric ,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H1015-11 -- W/C LAPTOP TABLE,Table,Study Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H1015-14 -- W/C 3 DR. SIDEBOARD,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H1015-17 -- W/C 5 DR. SIDEBOARD,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H1015-18 -- W/C BED,Bed,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H1015-19 -- W/C BED,Bed,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H1015-20 -- W/C BEDSIDE,Table,Bedside,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H1015-21 -- W/I 2 DR. CONSOLE,Table,Console,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H1015-23 -- I/W BAR CHAIR,Chair,Sitting Chair,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
