Item Code,Date,Quantity,Cost,Category,Type,Material
FE0115-16,2015-01-03,2,Rs.3288.00,Home Decor,,Wood
FE0115-17,2015-12-13,1,Rs.1645.00,Home Decor,,Wood
FE0115-17,2015-02-15,2,Rs.3330.00,Home Decor,,Wood
FE0115-18,2015-01-26,2,Rs.1500.00,Home Decor,,Wood
FE0115-18,2015-01-29,1,Rs.666.00,Home Decor,,Wood
FE0115-19,2015-01-29,1,Rs.756.00,Home Decor,,Wood
FE0115-19,2015-02-17,1,Rs.807.50,Home Decor,,Wood
FE0115-19,2015-06-06,1,Rs.850.00,Home Decor,,Wood
FE0115-19,2016-11-02,1,Rs.425.00,Home Decor,,Wood
FE0115-20,2015-06-09,1,Rs.1710.00,Home Decor,,Wood
