Item Code,Date,Quantity,Cost,Category,Type,Material
AZ-C-MG-001,2015-10-31,2,Rs.666.00,Home Decor,,Wood
AZ-L-BC-032,2017-09-21,1,Rs.3500.00,Home Decor,,Wood
AZ-L-HGNP-9/10-025,2017-12-04,1,Rs.1900.00,Home Decor,,Wood
AZ-L-KYC-010,2017-11-11,1,Rs.60.00,Home Decor,,Wood
AZ-L-KYC-010,2017-07-21,9,Rs.457.65,Home Decor,,Wood
AZ-L-KYC-010,2017-09-19,1,Rs.60.00,Home Decor,,Wood
AZ-L-KYC-010,2017-10-14,3,Rs.180.00,Home Decor,,Wood
BA,2011-01-26,1,Rs.3325.00,Table,Stool,Wood
BA,2013-11-04,1,Rs.2375.00,Table,Stool,Wood
BA-03,2015-07-31,1,Rs.222.22,Home Decor,,Wood
BA-05,2015-02-02,1,Rs.444.50,Home Decor,,Wood
BA-05,2017-01-12,1,Rs.500.00,Home Decor,,Wood
BABWL-01,2017-08-26,1,Rs.1500.00,Home Decor,,Wood
BAMIR-01,2017-12-02,1,Rs.4000.00,Home Decor,,Wood
BAPG-01,2015-08-24,1,Rs.1000.00,Home Decor,,Wood
BAPRTN-01,2010-01-07,1,Rs.5940.00,Partition,,Glass and Wood
BAPRTN-01,2011-11-13,1,Rs.3000.00,Partition,,Glass and Wood
BATBL-02,2014-02-27,1,Rs.5000.00,Table,Nesting,Wood
BBBNCH-01,2010-04-08,1,Rs.9900.00,Chair,Sofa Chair with Fabric,Wood
BBBNCH-01,2012-07-25,1,Rs.20000.00,Chair,Sofa Chair with Fabric,Wood
BBBNCH-01,2010-11-20,1,Rs.11000.00,Chair,Sofa Chair with Fabric,Wood
BBBNCH-01,2015-09-08,1,Rs.32000.00,Chair,Sofa Chair with Fabric,Wood
BBBNCH-01,2011-11-11,1,Rs.12150.00,Chair,Sofa Chair with Fabric,Wood
BBBNCH-01,2013-08-02,1,Rs.19000.00,Chair,Sofa Chair with Fabric,Wood
BBBNCH-03,2013-09-02,1,Rs.14725.00,Sofa,Cane,Wood
BBCBRD-01,2011-04-06,1,Rs.32300.00,Cupboard,Showcase,Glass and Wood
BBCHR-01,2010-09-11,6,Rs.33000.00,Chair,Sitting Chair,Wood
BBCHR-02,2010-12-10,1,Rs.10500.00,Chair,Sitting Chair,Wood
BBCHR-02,2011-08-13,1,Rs.12000.00,Chair,Sitting Chair,Wood
BBCHR-03,2011-06-09,4,Rs.24700.00,Chair,Cane Chair,Wood
BBCHR-03,2011-07-08,2,Rs.12350.00,Chair,Cane Chair,Wood
BBCHR-03,2011-07-17,2,Rs.12350.00,Chair,Cane Chair,Wood
BBCHR-04,2011-01-21,2,Rs.12540.00,Chair,Sitting Chair,Wood
BBCRNR-01,2013-02-03,1,Rs.14725.00,Table,Side Table,Wood
BBCRNR-01,2013-03-03,1,Rs.14725.00,Table,Side Table,Wood
BBDTBL-01,2011-01-20,1,Rs.52000.00,Table,Dining Table,Wood
BBDTBL-01,2010-06-23,1,Rs.52000.00,Table,Dining Table,Wood
BBDTBL-02,2010-09-22,1,Rs.20000.00,Table,Dining Table,Wood
BBDTBL-02,2011-06-02,1,Rs.38000.00,Table,Dining Table,Wood
BBSCE-01,2013-05-29,1,Rs.28500.00,Cupboard,Showcase,Glass and Wood
BBSFA-01,2015-03-23,1,Rs.20500.00,Sofa,Fabric ,Wood
BBSFA-01,2011-05-11,1,Rs.40500.00,Sofa,Fabric ,Wood
BBSFA-01,2013-12-07,1,Rs.42750.00,Sofa,Fabric ,Wood
BBSFA-01,2017-01-04,1,Rs.42275.00,Sofa,Fabric ,Wood
BBSFA-01,2015-07-11,1,Rs.61750.00,Sofa,Fabric ,Wood
BBSFA-13,2014-03-25,1,Rs.34000.00,Sofa,Cane,Wood
BBTBL-01,2010-09-19,1,Rs.4300.00,Table,Stool,Wood
BBTBL-01,2011-10-23,1,Rs.4085.00,Table,Stool,Wood
BBTBL-01,2010-09-19,1,Rs.4300.00,Table,Stool,Wood
BBTBL-02,2010-12-10,1,Rs.5600.00,Table,Stool,Wood
BBTBL-03,2013-07-13,1,Rs.4500.00,Table,Stool,Wood
BBTBL-04,2013-12-07,2,Rs.12350.00,Table,Stool,Wood
BBTBL-05,2010-10-24,1,Rs.10800.00,Table,Study Table,Wood
BBTBL-05,2013-04-11,1,Rs.13500.00,Table,Study Table,Wood
BBTBL-05,2012-08-18,1,Rs.12000.00,Table,Study Table,Wood
BBTBL-06,2010-07-24,1,Rs.10500.00,Table,Study Table,Wood
BBTBL-08,2012-11-25,2,Rs.11210.00,Table,Side Table,Wood
BBTBL-08,2010-10-10,2,Rs.11020.00,Table,Side Table,Wood
BBTBL-08,2012-11-24,1,Rs.5900.00,Table,Side Table,Wood
BBTBL-08,2012-11-24,1,Rs.5900.00,Table,Side Table,Wood
BBTBL-09,2017-07-05,2,Rs.4000.00,Table,Stool,Wood
BBTBL-09,2017-01-05,1,Rs.1762.20,Table,Stool,Wood
BBTBL-09,2010-10-20,1,Rs.1778.00,Table,Stool,Wood
BBTBL-11,2011-07-23,1,Rs.29000.00,Table,Roll Top Table,Wood
BBTBL-11,2011-10-01,1,Rs.27000.00,Table,Roll Top Table,Wood
BHNA-934,2015-11-11,1,Rs.1387.00,Home Decor,,Wood
BHNA-99,2015-03-17,1,Rs.338.00,Home Decor,,Wood
BHNA-A233,2015-05-21,1,Rs.380.00,Home Decor,,Wood
BHNA-A233,2016-10-21,1,Rs.334.81,Home Decor,,Wood
BHNA-A233,2016-05-09,1,Rs.380.00,Home Decor,,Wood
BHNA-A233,2015-03-17,1,Rs.338.00,Home Decor,,Wood
BHNA-A233,2015-09-30,1,Rs.321.10,Home Decor,,Wood
BHNA-A28,2016-03-30,1,Rs.1420.00,Home Decor,,Wood
BHNA-A78,2016-03-30,1,Rs.1890.00,Home Decor,,Wood
BHNA-V14,2015-05-06,1,Rs.816.30,Home Decor,,Wood
BHNA-V18,2016-12-15,1,Rs.1325.00,Home Decor,,Wood
BHNA-V19,2015-04-29,1,Rs.1071.00,Home Decor,,Wood
BHNA-V19,2017-10-17,1,Rs.6150.00,Home Decor,,Wood
BHNA-V23,2015-05-17,1,Rs.1035.00,Home Decor,,Wood
Bench,2017-12-04,1,Rs.12350.00,Chair,Bench,Wood
CCPO003,2017-04-04,1,Rs.484.61,Home Decor,,Wood
CH-JD-/04-17/BST-HW/1,2017-08-16,1,Rs.7200.00,Home Decor,,Wood
